"filename", "language", "JSON", "JavaScript", "CSS", "Markdown", "JavaScript JSX", "HTML", "XML", "comment", "blank", "total"
"c:\Users\97152\OneDrive\Desktop\ecmp\README.md", "Markdown", 0, 0, 0, 38, 0, 0, 0, 0, 33, 71
"c:\Users\97152\OneDrive\Desktop\ecmp\package-lock.json", "JSON", 12535, 0, 0, 0, 0, 0, 0, 0, 1, 12536
"c:\Users\97152\OneDrive\Desktop\ecmp\package.json", "JSON", 47, 0, 0, 0, 0, 0, 0, 0, 1, 48
"c:\Users\97152\OneDrive\Desktop\ecmp\public\index.html", "HTML", 0, 0, 0, 0, 0, 22, 0, 0, 2, 24
"c:\Users\97152\OneDrive\Desktop\ecmp\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\97152\OneDrive\Desktop\ecmp\src\App.css", "CSS", 0, 0, 25, 0, 0, 0, 0, 0, 4, 29
"c:\Users\97152\OneDrive\Desktop\ecmp\src\App.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 0, 4, 38
"c:\Users\97152\OneDrive\Desktop\ecmp\src\News.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\97152\OneDrive\Desktop\ecmp\src\assets\caret-right-solid.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\97152\OneDrive\Desktop\ecmp\src\components\contactUs\ContactUs.jsx", "JavaScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\97152\OneDrive\Desktop\ecmp\src\components\contactUs\contactUs.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\97152\OneDrive\Desktop\ecmp\src\components\footer\Footer.jsx", "JavaScript JSX", 0, 0, 0, 0, 86, 0, 0, 0, 4, 90
"c:\Users\97152\OneDrive\Desktop\ecmp\src\components\footer\footer.css", "CSS", 0, 0, 160, 0, 0, 0, 0, 0, 23, 183
"c:\Users\97152\OneDrive\Desktop\ecmp\src\components\headerComponent\HeaderComponent.jsx", "JavaScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\97152\OneDrive\Desktop\ecmp\src\components\headerComponent\headerComponent.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\97152\OneDrive\Desktop\ecmp\src\components\headerImage\HeaderImage.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
"c:\Users\97152\OneDrive\Desktop\ecmp\src\components\headerImage\headerImage.css", "CSS", 0, 0, 50, 0, 0, 0, 0, 0, 8, 58
"c:\Users\97152\OneDrive\Desktop\ecmp\src\components\index.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\97152\OneDrive\Desktop\ecmp\src\components\methodComponent\MethodComponent.jsx", "JavaScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 6, 26
"c:\Users\97152\OneDrive\Desktop\ecmp\src\components\methodComponent\methodComponent.css", "CSS", 0, 0, 23, 0, 0, 0, 0, 0, 5, 28
"c:\Users\97152\OneDrive\Desktop\ecmp\src\components\navbar\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 38, 0, 0, 0, 9, 47
"c:\Users\97152\OneDrive\Desktop\ecmp\src\components\navbar\navbar.css", "CSS", 0, 0, 107, 0, 0, 0, 0, 0, 20, 127
"c:\Users\97152\OneDrive\Desktop\ecmp\src\components\service\Service.jsx", "JavaScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 1, 21
"c:\Users\97152\OneDrive\Desktop\ecmp\src\components\service\service.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\97152\OneDrive\Desktop\ecmp\src\components\whyComponent\WhyComponent.jsx", "JavaScript JSX", 0, 0, 0, 0, 33, 0, 0, 0, 6, 39
"c:\Users\97152\OneDrive\Desktop\ecmp\src\components\whyComponent\whyComponent.css", "CSS", 0, 0, 93, 0, 0, 0, 0, 0, 17, 110
"c:\Users\97152\OneDrive\Desktop\ecmp\src\containers\about2\About2.jsx", "JavaScript JSX", 0, 0, 0, 0, 35, 0, 0, 0, 8, 43
"c:\Users\97152\OneDrive\Desktop\ecmp\src\containers\about2\about2.css", "CSS", 0, 0, 126, 0, 0, 0, 0, 0, 25, 151
"c:\Users\97152\OneDrive\Desktop\ecmp\src\containers\about\About.jsx", "JavaScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"c:\Users\97152\OneDrive\Desktop\ecmp\src\containers\about\about.css", "CSS", 0, 0, 49, 0, 0, 0, 0, 0, 6, 55
"c:\Users\97152\OneDrive\Desktop\ecmp\src\containers\clientele\Clientele.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 2, 15
"c:\Users\97152\OneDrive\Desktop\ecmp\src\containers\clientele\clientele.css", "CSS", 0, 0, 26, 0, 0, 0, 0, 0, 3, 29
"c:\Users\97152\OneDrive\Desktop\ecmp\src\containers\connect\Connect.jsx", "JavaScript JSX", 0, 0, 0, 0, 70, 0, 0, 28, 12, 110
"c:\Users\97152\OneDrive\Desktop\ecmp\src\containers\connect\connect.css", "CSS", 0, 0, 169, 0, 0, 0, 0, 26, 32, 227
"c:\Users\97152\OneDrive\Desktop\ecmp\src\containers\header\Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"c:\Users\97152\OneDrive\Desktop\ecmp\src\containers\header\header.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\97152\OneDrive\Desktop\ecmp\src\containers\imageSlider\ImageSlider.js", "JavaScript", 0, 136, 0, 0, 0, 0, 0, 1, 26, 163
"c:\Users\97152\OneDrive\Desktop\ecmp\src\containers\imageSlider\imageSlider.css", "CSS", 0, 0, 85, 0, 0, 0, 0, 2, 18, 105
"c:\Users\97152\OneDrive\Desktop\ecmp\src\containers\imageSlider\slidesData.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 2, 9
"c:\Users\97152\OneDrive\Desktop\ecmp\src\containers\index.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\97152\OneDrive\Desktop\ecmp\src\containers\methods\Methods.jsx", "JavaScript JSX", 0, 0, 0, 0, 52, 0, 0, 0, 7, 59
"c:\Users\97152\OneDrive\Desktop\ecmp\src\containers\methods\methods.css", "CSS", 0, 0, 43, 0, 0, 0, 0, 0, 7, 50
"c:\Users\97152\OneDrive\Desktop\ecmp\src\containers\services\Services.jsx", "JavaScript JSX", 0, 0, 0, 0, 80, 0, 0, 0, 4, 84
"c:\Users\97152\OneDrive\Desktop\ecmp\src\containers\services\services.css", "CSS", 0, 0, 123, 0, 0, 0, 0, 0, 23, 146
"c:\Users\97152\OneDrive\Desktop\ecmp\src\containers\why\Why.jsx", "JavaScript JSX", 0, 0, 0, 0, 51, 0, 0, 0, 9, 60
"c:\Users\97152\OneDrive\Desktop\ecmp\src\containers\why\why.css", "CSS", 0, 0, 39, 0, 0, 0, 0, 0, 8, 47
"c:\Users\97152\OneDrive\Desktop\ecmp\src\index.css", "CSS", 0, 0, 21, 0, 0, 0, 0, 0, 3, 24
"c:\Users\97152\OneDrive\Desktop\ecmp\src\index.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\97152\OneDrive\Desktop\ecmp\src\pages\AboutPage.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\97152\OneDrive\Desktop\ecmp\src\pages\ContactPage.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\97152\OneDrive\Desktop\ecmp\src\pages\Home.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\97152\OneDrive\Desktop\ecmp\src\pages\IndustriesPage.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\97152\OneDrive\Desktop\ecmp\src\pages\NewsPage.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\97152\OneDrive\Desktop\ecmp\src\pages\TeamPage.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\97152\OneDrive\Desktop\ecmp\src\pages\index.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\97152\OneDrive\Desktop\ecmp\src\pages\servicesPages\CorporateAdvisory.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\97152\OneDrive\Desktop\ecmp\src\pages\servicesPages\CorporateFinance.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\97152\OneDrive\Desktop\ecmp\src\pages\servicesPages\ESG.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\97152\OneDrive\Desktop\ecmp\src\pages\servicesPages\RiskAdvisory.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\97152\OneDrive\Desktop\ecmp\src\pages\servicesPages\Strategy.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\97152\OneDrive\Desktop\ecmp\src\pages\servicesPages\Technology.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\97152\OneDrive\Desktop\ecmp\src\pages\servicesPages\TransactionManagement.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"Total", "-", 12607, 362, 1139, 38, 556, 22, 1, 58, 395, 15178